# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=2) -> e + D2(c3Pu) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  2  1.10772E+01    2.39090E-01  -1.08300E+00   7.80300E+00  -1.44590E+01   1.12790E+01
   1 <-  2  1.12859E+01    1.06430E-01  -2.11050E-01   1.49120E+00  -2.73700E+00   2.07820E+00
   2 <-  2  1.14868E+01    3.92040E-02  -2.86960E-02   2.07530E-01  -3.81310E-01   3.01440E-01
   3 <-  2  1.16802E+01    1.14520E-01  -2.40110E-01   1.70060E+00  -3.07850E+00   2.33970E+00
   4 <-  2  1.18662E+01    1.22120E-01  -2.69740E-01   1.91040E+00  -3.41530E+00   2.56520E+00
   5 <-  2  1.20448E+01    8.84900E-02  -1.40310E-01   1.01710E+00  -1.78460E+00   1.34040E+00
   6 <-  2  1.22163E+01    4.86890E-02  -4.19250E-02   3.01660E-01  -5.22140E-01   3.85340E-01
   7 <-  2  1.23808E+01    6.66990E-03  -7.68120E-04   6.98780E-03  -1.02890E-02   7.60440E-03
   8 <-  2  1.25381E+01    2.33490E-02  -9.54340E-03   6.66420E-02  -1.18270E-01   8.79130E-02
   9 <-  2  1.26885E+01    4.57320E-02  -3.61530E-02   2.54580E-01  -4.41580E-01   3.23830E-01
  10 <-  2  1.28318E+01    5.75160E-02  -5.66930E-02   4.06400E-01  -6.93650E-01   5.08490E-01
  11 <-  2  1.29683E+01   -5.60480E-06   6.97840E-02  -5.31110E-01   1.53500E+00  -1.04760E+00
  12 <-  2  1.30980E+01    6.41920E-02  -6.95760E-02   5.04880E-01  -8.46540E-01   6.17530E-01
  13 <-  2  1.32204E+01    6.34260E-02  -6.74720E-02   4.87700E-01  -8.14430E-01   5.91220E-01
  14 <-  2  1.33354E+01    5.82620E-02  -5.66360E-02   4.18530E-01  -6.91320E-01   5.05010E-01
  15 <-  2  1.34427E+01   -1.25580E-06   4.51740E-02  -3.14130E-01   9.40840E-01  -6.26270E-01
  16 <-  2  1.35422E+01    5.07060E-02  -4.24890E-02   3.10650E-01  -5.12110E-01   3.71420E-01
  17 <-  2  1.36335E+01    4.69750E-02  -3.63080E-02   2.61960E-01  -4.32630E-01   3.11850E-01
  18 <-  2  1.37163E+01    4.25850E-02  -2.97270E-02   2.13170E-01  -3.52030E-01   2.52950E-01
  19 <-  2  1.37901E+01    3.76180E-02  -2.31270E-02   1.66470E-01  -2.74220E-01   1.97230E-01
  20 <-  2  1.38545E+01    3.18470E-02  -1.65470E-02   1.22010E-01  -1.99450E-01   1.44760E-01
  21 <-  2  1.39088E+01    2.13400E-02  -7.46870E-03   6.70680E-02  -1.04340E-01   8.11910E-02
  22 <-  2  1.39525E+01   -1.25100E-05   1.36630E-02  -1.06130E-01   2.90580E-01  -1.98420E-01
  23 <-  2  1.39852E+01    9.74040E-03  -1.59530E-03   2.24810E-02  -3.21970E-02   2.82550E-02
  24 <-  2  1.40072E+01    1.57160E-02  -4.00270E-03   2.84810E-02  -4.69330E-02   3.35740E-02
  25 <-  2  1.40199E+01    1.13860E-02  -2.09960E-03   1.48990E-02  -2.45640E-02   1.75520E-02
  26 <-  2  1.40264E+01    7.97300E-03  -1.02920E-03   7.29330E-03  -1.20280E-02   8.58980E-03
  27 <-  2  1.40296E+01    5.55530E-03  -4.99600E-04   3.53810E-03  -5.83570E-03   4.16640E-03
  28 <-  2  1.40311E+01    3.77880E-03  -2.31150E-04   1.63640E-03  -2.69930E-03   1.92690E-03
  29 <-  2  1.40318E+01    2.44990E-03  -9.71540E-05   6.87730E-04  -1.13440E-03   8.09800E-04
  30 <-  2  1.40320E+01    1.50770E-03  -3.67940E-05   2.60460E-04  -4.29630E-04   3.06680E-04
  DE <-  2  1.40322E+01    3.54730E-06   1.74800E-02   6.06710E-02   1.89570E-01  -7.77070E-02
