# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen and its isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + D2(X1Sg,vi=1) -> e + D2(a3Sg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2/x + a1/x^2 + a2/x^3 + a3/x^4 + a4/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4
   0 <-  1  1.14530E+01    2.54050E-01  -1.27240E+00   8.02410E+00  -1.72060E+01   1.36500E+01
   1 <-  1  1.16781E+01    1.94500E-01  -7.36360E-01   4.58040E+00  -9.75930E+00   7.64330E+00
   2 <-  1  1.18947E+01    6.99640E-02  -9.43610E-02   5.80970E-01  -1.23730E+00   9.63810E-01
   3 <-  1  1.21028E+01    3.73050E-02  -2.63860E-02   1.61440E-01  -3.33750E-01   2.55830E-01
   4 <-  1  1.23027E+01    1.06330E-01  -2.12870E-01   1.28860E+00  -2.68670E+00   2.05710E+00
   5 <-  1  1.24946E+01    1.31090E-01  -3.22440E-01   1.95730E+00  -4.09530E+00   3.17540E+00
   6 <-  1  1.26785E+01    1.40350E-01  -3.66380E-01   2.20330E+00  -4.60580E+00   3.55000E+00
   7 <-  1  1.28544E+01    1.32270E-01  -3.23120E-01   1.93330E+00  -4.03720E+00   3.10990E+00
   8 <-  1  1.30225E+01    1.13820E-01  -2.38150E-01   1.42610E+00  -2.97560E+00   2.30770E+00
   9 <-  1  1.31827E+01    1.00250E-01  -1.82890E-01   1.08420E+00  -2.24470E+00   1.72250E+00
  10 <-  1  1.33350E+01    8.58720E-02  -1.32830E-01   7.80100E-01  -1.59820E+00   1.21320E+00
  11 <-  1  1.34791E+01    7.03600E-02  -8.84210E-02   5.17040E-01  -1.04680E+00   7.90880E-01
  12 <-  1  1.36150E+01    5.99530E-02  -6.34100E-02   3.66040E-01  -7.28880E-01   5.40590E-01
  13 <-  1  1.37423E+01    5.12590E-02  -4.57630E-02   2.60470E-01  -5.09380E-01   3.69870E-01
  14 <-  1  1.38605E+01    4.27960E-02  -3.15410E-02   1.77630E-01  -3.41080E-01   2.43560E-01
  15 <-  1  1.39691E+01    3.43110E-02  -2.00890E-02   1.12650E-01  -2.12110E-01   1.50180E-01
  16 <-  1  1.40672E+01    2.84060E-02  -1.36320E-02   7.57730E-02  -1.40070E-01   9.76840E-02
  17 <-  1  1.41538E+01    2.39190E-02  -9.57120E-03   5.26180E-02  -9.57450E-02   6.55840E-02
  18 <-  1  1.42274E+01    1.97390E-02  -6.46470E-03   3.52450E-02  -6.32200E-02   4.27120E-02
  19 <-  1  1.42864E+01    1.57750E-02  -4.10180E-03   2.22390E-02  -3.93640E-02   2.63390E-02
  20 <-  1  1.43291E+01    1.20110E-02  -2.36600E-03   1.27850E-02  -2.23760E-02   1.48780E-02
  21 <-  1  1.43556E+01    8.51630E-03  -1.18570E-03   6.39600E-03  -1.11060E-02   7.35900E-03
  22 <-  1  1.43690E+01    5.62810E-03  -5.16990E-04   2.78660E-03  -4.81810E-03   3.18710E-03
  23 <-  1  1.43754E+01    4.18680E-03  -2.85880E-04   1.54040E-03  -2.65780E-03   1.75670E-03
  24 <-  1  1.43799E+01    3.69640E-03  -2.22710E-04   1.19970E-03  -2.06680E-03   1.36540E-03
  25 <-  1  1.43833E+01    3.10910E-03  -1.57500E-04   8.48250E-04  -1.45970E-03   9.63920E-04
  26 <-  1  1.43857E+01    2.49130E-03  -1.01090E-04   5.44410E-04  -9.36090E-04   6.17980E-04
  27 <-  1  1.43871E+01    1.91660E-03  -5.98210E-05   3.22120E-04  -5.53610E-04   3.65410E-04
  28 <-  1  1.43880E+01    1.42140E-03  -3.28970E-05   1.77140E-04  -3.04340E-04   2.00870E-04
  29 <-  1  1.43884E+01    1.01120E-03  -1.66480E-05   8.96400E-05  -1.53990E-04   1.01630E-04
  30 <-  1  1.43886E+01    7.45450E-04  -9.04770E-06   4.87160E-05  -8.36800E-05   5.52240E-05
  DE <-  1  1.43887E+01   -5.04600E-06   8.80830E-04  -4.15270E-03   3.76890E-02  -2.42700E-02
